model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
2907,10,78.57,78.34,78.57,75.83,75.78,52.38,78.42,61.54,64.74,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 41}"
2909,10,78.57,78.34,78.57,75.83,75.78,52.38,78.42,62.09,64.74,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 43}"
2920,10,78.57,78.23,78.57,75.41,75.34,52.06,78.31,64.44,64.56,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 53}"
2914,10,78.57,78.23,78.57,75.41,75.34,52.06,78.31,63.19,64.56,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 48}"
2912,10,78.57,78.23,78.57,75.41,75.34,52.06,78.31,62.73,64.56,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 46}"
3046,11,78.57,78.23,78.57,75.41,75.34,52.06,78.31,2.78,64.56,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 99}"
3045,11,78.57,78.23,78.57,75.41,75.34,52.06,78.31,3.3,64.56,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 98}"
2985,11,77.92,77.52,77.92,74.48,74.4,50.44,77.59,3.47,63.79,"{'criterion': 'mae', 'learning_rate': 0.12, 'n_estimators': 85}"
3044,11,77.92,77.52,77.92,74.48,74.4,50.44,77.59,3.37,63.79,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 97}"
3043,11,77.92,77.52,77.92,74.48,74.4,50.44,77.59,3.59,63.79,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 96}"
