model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
2043,6,0.709781421,0.71206525,0.709781421,0.738840789,0.709720617,0.424888954,0.714363994,0.566983681
2044,6,0.709781421,0.71206525,0.709781421,0.738840789,0.709720617,0.424888954,0.714363994,0.566983681
2045,6,0.709781421,0.71206525,0.709781421,0.739073272,0.713346786,0.431703609,0.717854874,0.568001352
2046,6,0.709781421,0.71206525,0.709781421,0.739073272,0.713346786,0.431703609,0.717854874,0.568001352
2047,6,0.709781421,0.71206525,0.709781421,0.738640372,0.713346786,0.431703609,0.717854874,0.568976072
2048,6,0.709781421,0.71206525,0.709781421,0.738640372,0.713346786,0.431703609,0.717854874,0.568976072
2049,6,0.709781421,0.71206525,0.709781421,0.738415905,0.713346786,0.431703609,0.717854874,0.569914748
2050,6,0.709781421,0.71206525,0.709781421,0.738415905,0.713346786,0.431703609,0.717854874,0.569914748
2051,6,0.709781421,0.71206525,0.709781421,0.737750521,0.713346786,0.431703609,0.717854874,0.57082337
2052,6,0.709781421,0.71206525,0.709781421,0.737750521,0.713346786,0.431703609,0.717854874,0.57082337
2053,6,0.709781421,0.71206525,0.709781421,0.737534071,0.713346786,0.431703609,0.717854874,0.571707179
2054,6,0.709781421,0.71206525,0.709781421,0.737534071,0.713346786,0.431703609,0.717854874,0.571707179
2055,6,0.709781421,0.71206525,0.709781421,0.737542088,0.713346786,0.431703609,0.717854874,0.572570793
2056,6,0.709781421,0.71206525,0.709781421,0.737542088,0.713346786,0.431703609,0.717854874,0.572570793
2057,6,0.709781421,0.71206525,0.709781421,0.737750521,0.713346786,0.431703609,0.717854874,0.573418322
2058,6,0.709781421,0.71206525,0.709781421,0.737750521,0.713346786,0.431703609,0.717854874,0.573418322
2059,6,0.709781421,0.71206525,0.709781421,0.737758538,0.713346786,0.431703609,0.717854874,0.574253447
2060,6,0.709781421,0.71206525,0.709781421,0.737758538,0.713346786,0.431703609,0.717854874,0.574253447
2061,6,0.709781421,0.71206525,0.709781421,0.737542088,0.713346786,0.431703609,0.717854874,0.575079495
2062,6,0.709781421,0.71206525,0.709781421,0.737542088,0.713346786,0.431703609,0.717854874,0.575079495
2063,6,0.709781421,0.71206525,0.709781421,0.737325637,0.713346786,0.431703609,0.717854874,0.5758995
2064,6,0.709781421,0.71206525,0.709781421,0.737325637,0.713346786,0.431703609,0.717854874,0.5758995
2065,6,0.709781421,0.71206525,0.709781421,0.73710117,0.710318639,0.425076164,0.714700417,0.576716246
2066,6,0.709781421,0.71206525,0.709781421,0.73710117,0.710318639,0.425076164,0.714700417,0.576716246
2067,6,0.713114754,0.714885791,0.713114754,0.736876704,0.710318639,0.425076164,0.714700417,0.577532314
2068,6,0.713114754,0.714885791,0.713114754,0.736876704,0.710318639,0.425076164,0.714700417,0.577532314
2069,6,0.709836066,0.711390741,0.709836066,0.736876704,0.710318639,0.425076164,0.714700417,0.578350116
2070,6,0.709836066,0.711390741,0.709836066,0.736876704,0.710318639,0.425076164,0.714700417,0.578350116
2071,6,0.713114754,0.71471728,0.713114754,0.736660253,0.710318639,0.425076164,0.714700417,0.579171924
2072,6,0.713114754,0.71471728,0.713114754,0.736660253,0.710318639,0.425076164,0.714700417,0.579171924
2073,6,0.713114754,0.71471728,0.713114754,0.736227353,0.710318639,0.425076164,0.714700417,0.579999898
2074,6,0.713114754,0.71471728,0.713114754,0.736227353,0.710318639,0.425076164,0.714700417,0.579999898
2075,6,0.709781421,0.710962368,0.709781421,0.736443803,0.710318639,0.425076164,0.714700417,0.580836108
2076,6,0.709781421,0.710962368,0.709781421,0.736443803,0.710318639,0.425076164,0.714700417,0.580836108
2077,6,0.709781421,0.710962368,0.709781421,0.736876704,0.710318639,0.425076164,0.714700417,0.581682554
2078,6,0.709781421,0.710962368,0.709781421,0.736876704,0.710318639,0.425076164,0.714700417,0.581682554
2079,6,0.709781421,0.710962368,0.709781421,0.73710117,0.710318639,0.425076164,0.714700417,0.582541188
