model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
2670,9,96.57,96.69,96.57,99.27,100.0,100.0,100.0,0.0,86.14,"{'criterion': 'entropy', 'n_estimators': 135}"
2676,9,96.57,96.69,96.57,99.27,100.0,100.0,100.0,0.0,86.14,"{'criterion': 'gini', 'n_estimators': 77}"
2675,9,96.57,96.69,96.57,99.27,100.0,100.0,100.0,0.0,86.14,"{'criterion': 'gini', 'n_estimators': 76}"
2844,10,94.99,95.2,94.99,98.4,99.05,98.1,99.14,91.16,84.99,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 64}"
2843,10,95.28,95.51,95.28,98.54,98.73,97.47,98.86,90.52,84.96,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 63}"
2834,10,94.99,95.21,94.99,98.62,98.94,97.79,99.0,87.63,84.94,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 79}"
2845,10,94.99,95.21,94.99,98.42,98.84,97.78,99.0,91.33,84.9,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 65}"
2836,10,94.85,95.04,94.85,98.62,98.94,97.79,99.0,88.67,84.89,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 57}"
2986,11,95.57,95.67,95.57,99.13,100.0,100.0,100.0,0.0,85.74,"{'criterion': 'mae', 'learning_rate': 0.12, 'n_estimators': 86}"
3045,11,95.57,95.67,95.57,99.12,100.0,100.0,100.0,0.11,85.74,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 98}"
2963,11,95.57,95.68,95.57,99.07,100.0,100.0,100.0,2.12,85.74,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 95}"
2964,11,95.57,95.68,95.57,99.08,100.0,100.0,100.0,1.95,85.74,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 96}"
2965,11,95.57,95.68,95.57,99.08,100.0,100.0,100.0,1.85,85.74,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 97}"
