model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
2819,10,0.759188524,0.755300437,0.759188524,0.820669113,0.791370019,0.597622671,0.818206787,0.962925328
2820,10,0.75659961,0.753384789,0.75659961,0.821587002,0.791370019,0.597622671,0.818206787,0.964761096
2821,10,0.75659961,0.752520837,0.75659961,0.823221523,0.792359766,0.600330222,0.81942638,0.967909164
2822,10,0.754010695,0.75046886,0.754010695,0.822658281,0.793349424,0.603049211,0.820646524,0.967207605
2823,10,0.760521178,0.756506971,0.760521178,0.82374144,0.784806356,0.587674479,0.813742625,0.968493046
2824,10,0.755317885,0.750905052,0.755317885,0.822351153,0.784806356,0.587674479,0.813742625,0.970995435
2825,10,0.763110093,0.75951212,0.763110093,0.822705101,0.784806356,0.587674479,0.813742625,0.97259772
2826,10,0.760521178,0.757204001,0.760521178,0.824538784,0.786695477,0.590840994,0.815167119,0.973221077
2827,10,0.76442577,0.761015617,0.76442577,0.822719776,0.787684497,0.593574887,0.816384574,0.974221071
2828,10,0.759222477,0.755531133,0.759222477,0.822537386,0.789573316,0.59673467,0.817807588,0.976504354
2829,10,0.760521178,0.756611873,0.760521178,0.823484976,0.790562461,0.599475294,0.819026522,0.977055681
2830,10,0.75659961,0.752605848,0.75659961,0.823339623,0.800093224,0.617553792,0.827145242,0.980078353
2831,10,0.755317885,0.752067776,0.755317885,0.822004892,0.806836755,0.632096724,0.833650407,0.983471948
2832,10,0.757898311,0.755264434,0.757898311,0.820181691,0.796495496,0.616172323,0.826353031,0.981267217
2833,10,0.752720482,0.749264338,0.752720482,0.818651992,0.799285516,0.61961075,0.827979843,0.981983432
2834,10,0.753985231,0.74956557,0.753985231,0.818803634,0.799285516,0.61961075,0.827979843,0.981973208
2835,10,0.752703506,0.749452463,0.752703506,0.817016772,0.79919531,0.617176518,0.826952368,0.984940415
2836,10,0.750097615,0.746190116,0.750097615,0.817580713,0.799285516,0.61961075,0.827979843,0.985768525
2837,10,0.747483236,0.744027194,0.747483236,0.816418588,0.800274558,0.622413554,0.829204288,0.987781571
2838,10,0.748798914,0.745599708,0.748798914,0.81474144,0.801263513,0.625228891,0.830429411,0.985983809
2839,10,0.747483236,0.744830413,0.747483236,0.81712928,0.801263513,0.625228891,0.830429411,0.989613089
2840,10,0.747483236,0.74466937,0.747483236,0.819443047,0.804856734,0.626570886,0.831196728,0.989738834
2841,10,0.748773449,0.74552366,0.748773449,0.820100629,0.800274558,0.622413554,0.829204288,0.991660364
2842,10,0.74615907,0.742252392,0.74615907,0.820433264,0.803062133,0.625856589,0.830819806,0.994233241
2843,10,0.75007215,0.746494327,0.75007215,0.819723969,0.803062133,0.625856589,0.830819806,0.994513262
2844,10,0.752686529,0.749917767,0.752686529,0.819730259,0.801082948,0.620309373,0.828369467,0.997538451
2845,10,0.75007215,0.746686542,0.75007215,0.818750524,0.801174076,0.622734418,0.829401007,0.998012157
2846,10,0.760495713,0.757072824,0.760495713,0.820505241,0.803062133,0.625856589,0.830819806,1
2847,10,0.750038197,0.749678447,0.750038197,0.813426974,0.725246436,0.498582013,0.771267141,0
2848,10,0.74741533,0.747065533,0.74741533,0.814864431,0.725246436,0.498582013,0.771267141,0.007290668
2849,10,0.746116629,0.74555195,0.746116629,0.815013976,0.725246436,0.498582013,0.771267141,0.009270822
2850,10,0.760487225,0.758333776,0.760487225,0.815085255,0.725246436,0.498582013,0.771267141,0.011222898
2851,10,0.746116629,0.74555195,0.746116629,0.815085255,0.725246436,0.498582013,0.771267141,0.01314995
2852,10,0.746116629,0.74555195,0.746116629,0.816214885,0.725246436,0.498582013,0.771267141,0.02000726
2853,10,0.744817927,0.74291502,0.744817927,0.816699161,0.725246436,0.498582013,0.771267141,0.021730783
2854,10,0.757889823,0.753957343,0.757889823,0.816075472,0.725246436,0.498582013,0.771267141,0.028300342
2855,10,0.767023173,0.76494375,0.767023173,0.818098533,0.685992525,0.452083272,0.743137304,0.014741931
2856,10,0.763101604,0.760869485,0.763101604,0.818024458,0.725246436,0.498582013,0.771267141,0.021237864
2857,10,0.767023173,0.76472811,0.767023173,0.818206848,0.725246436,0.498582013,0.771267141,0.026372869
2858,10,0.767006196,0.765790505,0.767006196,0.818016772,0.725246436,0.498582013,0.771267141,0.030713862
2859,10,0.764400306,0.762167428,0.764400306,0.81912928,0.725246436,0.498582013,0.771267141,0.036137233
2860,10,0.770919277,0.76984074,0.770919277,0.818798043,0.726076145,0.493342977,0.769956372,0.024340615
2861,10,0.763101604,0.760968405,0.763101604,0.819359888,0.729019743,0.502262792,0.773505674,0.023654076
2862,10,0.763101604,0.760653845,0.763101604,0.819227463,0.727109082,0.499021834,0.771975653,0.024487696
2863,10,0.760504202,0.756674154,0.760504202,0.819577219,0.725246436,0.498582013,0.771267141,0.025376508
2864,10,0.763101604,0.760653845,0.763101604,0.820392034,0.725246436,0.498582013,0.771267141,0.026281885
2865,10,0.760504202,0.756503332,0.760504202,0.82024738,0.725246436,0.498582013,0.771267141,0.03161911
2866,10,0.765699007,0.764425637,0.765699007,0.820849057,0.727109082,0.499021834,0.771975653,0.035848714
2867,10,0.765699007,0.764914214,0.765699007,0.821690426,0.725246436,0.498582013,0.771267141,0.036564628
2868,10,0.765699007,0.764425637,0.765699007,0.82198812,0.725246436,0.498582013,0.771267141,0.03729762
2869,10,0.764400306,0.762167428,0.764400306,0.822665618,0.725246436,0.498582013,0.771267141,0.042377322
2870,10,0.760504202,0.756503332,0.760504202,0.822738295,0.725246436,0.498582013,0.771267141,0.044771061
2871,10,0.765699007,0.764425637,0.765699007,0.822628581,0.718569079,0.488645232,0.766249838,0.036976235
2872,10,0.763101604,0.761945819,0.763101604,0.823537037,0.718569079,0.488645232,0.766249838,0.040931152
2873,10,0.764400306,0.762916289,0.764400306,0.82259993,0.725246436,0.498582013,0.771267141,0.04541784
2874,10,0.764400306,0.762912054,0.764400306,0.822786513,0.725246436,0.498582013,0.771267141,0.045880206
2875,10,0.764400306,0.762912054,0.764400306,0.823328791,0.718569079,0.488645232,0.766249838,0.046364686
2876,10,0.763084628,0.761664008,0.763084628,0.823480433,0.718569079,0.488645232,0.766249838,0.050851662
2877,10,0.765699007,0.764425637,0.765699007,0.823555206,0.718569079,0.488645232,0.766249838,0.054390043
2878,10,0.763101604,0.761774997,0.763101604,0.823555206,0.718569079,0.488645232,0.766249838,0.054752048
2879,10,0.764400306,0.762912054,0.764400306,0.824331586,0.718569079,0.488645232,0.766249838,0.058826046
2880,10,0.764400306,0.762912054,0.764400306,0.823258211,0.718569079,0.488645232,0.766249838,0.051888125
2881,10,0.765699007,0.764425637,0.765699007,0.823849406,0.718569079,0.488645232,0.766249838,0.049593012
2882,10,0.760504202,0.756101513,0.760504202,0.824134172,0.718569079,0.488645232,0.766249838,0.053635415
2883,10,0.7592055,0.754112935,0.7592055,0.824436758,0.720439602,0.48903904,0.766998878,0.056838454
2884,10,0.763101604,0.759868696,0.763101604,0.824714535,0.718569079,0.488645232,0.766249838,0.057082824
2885,10,0.763101604,0.760035283,0.763101604,0.824899721,0.720439602,0.48903904,0.766998878,0.060755435
2886,10,0.761802903,0.758796672,0.761802903,0.825532844,0.718569079,0.488645232,0.766249838,0.062628105
2887,10,0.763067651,0.759457428,0.763067651,0.820776031,0.76654555,0.549585264,0.79668383,0.513544111
2888,10,0.764357864,0.760987444,0.764357864,0.820850105,0.769067042,0.547268204,0.795349409,0.528961003
2889,10,0.765673542,0.762154337,0.765673542,0.822570231,0.763912455,0.550355858,0.796949432,0.520200973
2890,10,0.761760462,0.758114556,0.761760462,0.821218379,0.769067042,0.547268204,0.795349409,0.540580718
2891,10,0.766972243,0.763951169,0.766972243,0.821783718,0.763832155,0.548072196,0.795985385,0.533157888
2892,10,0.764366353,0.761199358,0.764366353,0.821746681,0.765557332,0.546909636,0.795477195,0.545779025
2893,10,0.766963755,0.763747576,0.766963755,0.821933962,0.76654555,0.549585264,0.79668383,0.541857197
2894,10,0.761760462,0.757700978,0.761760462,0.822451782,0.765557332,0.546909636,0.795477195,0.551904528
2895,10,0.768270945,0.764543667,0.768270945,0.822744584,0.763912455,0.550355858,0.796949432,0.545491458
2896,10,0.757864358,0.7539428,0.757864358,0.822189029,0.769067042,0.547268204,0.795349409,0.56207797
2897,10,0.763067651,0.759369645,0.763067651,0.82240566,0.768349156,0.550683193,0.797129313,0.557571673
2898,10,0.76176895,0.757503837,0.76176895,0.821766946,0.777503988,0.560848648,0.801181782,0.574139368
2899,10,0.76698922,0.762919407,0.76698922,0.823732006,0.763832155,0.548072196,0.795985385,0.566394567
2900,10,0.761777438,0.757976619,0.761777438,0.824393082,0.775903088,0.563535218,0.802817203,0.576324733
2901,10,0.764374841,0.760145581,0.764374841,0.825418239,0.768521721,0.554970069,0.79909852,0.574125777
2902,10,0.760470249,0.756460471,0.760470249,0.826509085,0.775810344,0.561507215,0.80180862,0.579922701
2903,10,0.76568203,0.761328986,0.76568203,0.826693571,0.759136226,0.541190975,0.792843339,0.573458801
2904,10,0.76307614,0.760155328,0.76307614,0.827098882,0.774820241,0.558904472,0.800596861,0.587756431
2905,10,0.76307614,0.758832286,0.76307614,0.82760587,0.766629977,0.551765427,0.797661659,0.584476416
2906,10,0.769586623,0.765989116,0.769586623,0.827794549,0.775903088,0.563535218,0.802817203,0.589519722
2907,10,0.761777438,0.757728104,0.761777438,0.828310971,0.756176296,0.532980239,0.789237648,0.580888161
2908,10,0.76698922,0.763505373,0.76698922,0.829520615,0.760869994,0.539937262,0.792371768,0.606297193
2909,10,0.763084628,0.758977564,0.763084628,0.829594689,0.763404087,0.537562919,0.791094625,0.614563435
2910,10,0.76698922,0.764629575,0.76698922,0.829890985,0.760869994,0.539937262,0.792371768,0.609376771
2911,10,0.761785927,0.757479087,0.761785927,0.829556254,0.760701713,0.535717399,0.790429156,0.618313691
2912,10,0.765690519,0.762305344,0.765690519,0.829892383,0.762678155,0.541022623,0.792838191,0.616219104
2913,10,0.761777438,0.757960909,0.761777438,0.83059399,0.759713358,0.533080889,0.78922526,0.621446726
2914,10,0.76568203,0.762159522,0.76568203,0.830556254,0.764569025,0.544245021,0.794271013,0.627043443
2915,10,0.76307614,0.759204589,0.76307614,0.830480783,0.758977046,0.536716379,0.790929348,0.624046356
2916,10,0.763059163,0.759503701,0.763059163,0.830385045,0.764569025,0.544245021,0.794271013,0.629036655
2917,10,0.76307614,0.759121803,0.76307614,0.830385045,0.7524621,0.52878725,0.787272539,0.611910365
2918,10,0.764374841,0.760729409,0.764374841,0.830533194,0.760786743,0.537797912,0.791402891,0.624367988
2919,10,0.76307614,0.759204589,0.76307614,0.830457722,0.76160357,0.536315994,0.790655029,0.628635095
2920,10,0.768279433,0.765553061,0.768279433,0.830457722,0.76193855,0.544864823,0.794539845,0.621040271
2921,10,0.759180036,0.75585099,0.759180036,0.830198463,0.762762391,0.54315565,0.793811639,0.629179415
